Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2021-12-01","France","FRA","250","Europe","150","Western Europe","155","84733020","Prts And Accssrs Of Motherboards","Nos","16.11","530.59","0.7"
"2021-10-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","39204900","Othr Pltes Shts Of Polymr Of Vinyl Chlorid","Kgs","1.65","3.87","0.01"
"2019-10-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","32030010","Cutch(Catechu) Extracts","Kgs","0.0","0.3","0.0"
"2021-10-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","3028930","Pomfret Fresh Or Chilled","Kgs","4.48","21.99","0.03"
"2015-06-01","Portugal","PRT","620","Europe","150","Southern Europe","39","68022390","Others","Kgs","105.5","42.11","0.07"
"2025-02-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","40101290","(Cnvyr Blt/Bltng)Renfrcd Wth Txtl Mtrls Where Rubr Compd Content More Than 25% By Weight","Kgs","9730.0","0.58","0.07"
"2021-04-01","Spain","ESP","724","Europe","150","Southern Europe","39","33049910","Creams Face (Excl Turmaric)","Kgs","0.01","0.27","0.0"
"2020-01-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","9042110","Of Genus Capsicum","Kgs","2.43","7.59","0.01"
"2018-10-01","Italy","ITA","380","Europe","150","Southern Europe","39","58109100","Other Embroidery Of Cotton","Kgs","0.68","137.99","0.19"
"2019-03-01","Ireland","IRL","372","Europe","150","Northern Europe","154","63049229","Other Napkins","Nos","64.0","16.2","0.02"
"2024-10-01","Albania","ALB","8","Europe","150","Southern Europe","39","87019300","Other Tractors, Of An Engine Powerexceeding 37 Kw But Not Exceeding 75 Kw","Nos","3.0","0.42","0.05"
"2020-01-01","Austria","AUT","40","Europe","150","Western Europe","155","68041000","Mlstns And Grndstns Fr Mlng,Grndng/Pulpng","Kgs","0.15","0.79","0.0"
"2015-08-01","Denmark","DNK","208","Europe","150","Northern Europe","154","94052010","*Table Lamps,Complete Fittings","Nos","0.72","13.49","0.02"
"2016-03-01","Sweden","SWE","752","Europe","150","Northern Europe","154","84439990","Prts Of Othr Prntng Mchnry And Mchns Fr Uses Ancillary To Printing","Nos","0.05","3.36","0.01"
"2020-09-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","8109050","Bore","Kgs","0.2","0.68","0.0"
"2015-02-01","Poland","POL","616","Europe","150","Eastern Europe","151","73181600","Threaded Nuts","Kgs","21.02","46.92","0.08"
"2018-10-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","85459090","Others","Kgs","0.0","0.01",""
"2021-11-01","Finland","FIN","246","Europe","150","Northern Europe","154","42023190","Others","Nos","1.47","3.13","0.0"
"2024-06-01","Poland","POL","616","Europe","150","Eastern Europe","151","30049099","Other Medcne Put Up For Retail Sale N.E.S","Kgs","39777.0","26.91","3.22"
"2017-03-01","France","FRA","250","Europe","150","Western Europe","155","30049082","Other Antiepileptic Drugs","Kgs","2.73","168.23","0.26"
"2016-10-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","48239090","Others","Kgs","1.0","0.6","0.0"
"2018-05-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","94015900","Other","Nos","0.1","1.23","0.0"
"2018-06-01","Poland","POL","616","Europe","150","Eastern Europe","151","96086090","Othr Refills For Ball Point Pens","Nos","2.0","0.03",""
"2021-05-01","Ireland","IRL","372","Europe","150","Northern Europe","154","87083000","Mounted Brake Linings","Kgs","21.78","47.68","0.07"
"2015-04-01","Bulgaria","BGR","100","Europe","150","Eastern Europe","151","62114300","Other Garments Of Man-Made Fibres","Nos","0.32","0.27","0.0"
